,分词,分词索引化
599,"['北文', '股东', '司法', '拍卖', '股份', '完成', '过户', '暨', '持股']","[0, 9250, 6195, 18734, 11068, 678, 33617, 40297, 31043]"
600,"['宁波', '能源', '控股', '股东', '延长', '股份', '锁定', '期']","[15875, 3856, 22043, 9250, 7858, 11068, 10150, 1729]"
601,"['中信证券', '股份', '有限公司', '宁波', '能源', '集团股份', '有限公司', '控股', '股东', '延长', '股份', '锁定', '期', '核查', '意见']","[99190, 11068, 11426, 15875, 3856, 163991, 11426, 22043, 9250, 7858, 11068, 10150, 1729, 41698, 2497]"
602,"['吉林', '华微电子', '股份', '有限公司', '收到', '上海证券交易所']","[17051, 0, 11068, 11426, 1851, 151267]"
603,"['艾迪', '药业', '股东', '集中', '竞价', '减持', '股份']","[84551, 80551, 9250, 1784, 26545, 65453, 11068]"
604,"['第二届', '监事会', '第三次', '会议', '决议']","[0, 122159, 0, 3764, 17912]"
605,"['变更', '住所', '修订']","[15574, 19779, 22681]"
606,"['召开', '年', '第二次', '临时', '股东大会', '通知']","[9061, 50, 0, 3922, 70603, 3506]"
607,"['独立', '董事', '第二届', '董事会', '第四次', '会议', '相关', '事项', '独立', '意见']","[988, 25899, 0, 22872, 0, 3764, 530, 15891, 988, 2497]"
608,"['第二届', '董事会', '第四次', '会议', '决议']","[0, 22872, 0, 3764, 17912]"
609,"['终止', '年', '限制性', '股票', '激励', '计划']","[12958, 50, 70711, 2913, 5596, 887]"
610,"['监事会', '终止', '年', '限制性', '股票', '激励', '计划', '核查', '意见']","[122159, 12958, 50, 70711, 2913, 5596, 887, 41698, 2497]"
611,"['公司章程', '年', '月', '修订']","[108228, 50, 161, 22681]"
612,"['上海市', '通力', '律师', '事务所', '虹软', '科技股份', '有限公司', '终止', '实施', '年', '限制性', '股票', '激励', '计划', '法律', '意见书']","[20802, 193535, 3618, 25653, 0, 176683, 11426, 12958, 3072, 50, 70711, 2913, 5596, 887, 799, 92352]"
613,"['弘信', '电子', '召开', '年', '第五次', '临时', '股东大会', '会议', '通知']","[0, 2859, 9061, 50, 0, 3922, 70603, 3764, 3506]"
614,"['星期六', '公司', '年', '股票', '期权', '限制性', '股票', '激励', '计划', '股票', '期权', '第一个', '行权期', '采用', '自主', '行权', '模式', '提示性']","[34210, 225, 50, 2913, 19759, 70711, 2913, 5596, 887, 2913, 19759, 0, 0, 1644, 4254, 122985, 1141, 186770]"
615,"['移为', '通信', '年', '年度', '权益', '分派', '实施']","[0, 5829, 50, 6892, 6385, 60412, 3072]"
616,"['亿阳信通', '公司', '董事', '辞职']","[0, 225, 25899, 4364]"
617,"['成都', '银行', '股份', '有限公司', '年', '年度', '权益', '分派', '实施']","[3277, 1432, 11068, 11426, 50, 6892, 6385, 60412, 3072]"
618,"['成都', '银行', '股份', '有限公司', '年度', '利润分配', '方案', '调整', '股可', '转换', '公司债券', '转股', '价格']","[3277, 1432, 11068, 11426, 6892, 146586, 2233, 1754, 0, 5583, 221683, 0, 651]"
619,['股'],[1701]
620,"['红墙', '股份', '监事会', '年', '股票', '期权', '激励', '计划', '激励', '对象', '名单', '审核', '公示', '情况', '说明']","[60080, 11068, 122159, 50, 2913, 19759, 5596, 887, 5596, 1679, 6657, 7913, 34343, 394, 778]"
621,"['中兴通讯', '终止', '发行', '股份', '募集', '配套', '资金']","[158510, 12958, 5698, 11068, 25802, 8321, 1797]"
622,"['方正科技', '集团股份', '有限公司', '部分', '债务', '逾期']","[0, 163991, 11426, 421, 6606, 28087]"
623,"['佳创', '视讯', '延期', '回复', '深圳证券交易所', '第四轮', '审核', '问询', '函']","[0, 153002, 23188, 1446, 183356, 0, 7913, 47727, 28939]"
624,"['万', '集', '科技', '对外', '投资', '暨', '增资', '上海', '济达', '交通', '科技', '有限公司', '进展']","[1069, 1763, 1140, 3871, 857, 40297, 114129, 829, 0, 3365, 1140, 11426, 6738]"
625,"['福星', '股份', '子公司', '借款', '提供', '担保']","[102932, 11068, 24811, 15921, 614, 16235]"
626,"['翔鹭钨业', '股东', '部分', '股份', '解除', '质押']","[0, 9250, 421, 11068, 9418, 42955]"
627,"['中', '天', '精装', '精装', '转债', '回售', '第二次', '提示性']","[60, 123, 54045, 54045, 237991, 0, 0, 186770]"
628,"['武进', '不锈', '年', '年度', '权益', '分派', '实施']","[132872, 135695, 50, 6892, 6385, 60412, 3072]"
629,"['贵州', '燃气', '集团股份', '有限公司', '贵燃', '转债', '跟踪', '信用', '评级']","[10785, 30840, 163991, 11426, 0, 237991, 8915, 6483, 23999]"
630,"['贵州', '燃气', '集团股份', '有限公司', '年度', '跟踪', '评级', '报告']","[10785, 30840, 163991, 11426, 6892, 8915, 23999, 1950]"
631,"['中国', '机械', '工业', '集团', '有限公司', '国机', '汽车', '股票交易', '异常', '波动', '询证', '回', '复函']","[80, 3031, 1706, 3012, 11426, 257292, 1400, 75275, 3183, 5639, 193797, 494, 119828]"
632,"['国机', '汽车', '股票交易', '异常', '波动']","[257292, 1400, 75275, 3183, 5639]"
633,"['菱电', '电控', '持股']","[0, 81426, 31043]"
634,"['年', '年度', '权益', '分派', '实施']","[50, 6892, 6385, 60412, 3072]"
635,"['湖北', '凯乐', '科技股份', '有限公司', '年', '年度', '股东', '大会决议']","[8541, 195134, 176683, 11426, 50, 6892, 9250, 238172]"
636,"['湖北', '今天', '律师', '事务所', '湖北', '凯乐', '科技股份', '有限公司', '二']","[8541, 540, 3618, 25653, 8541, 195134, 176683, 11426, 285]"
637,"['新余', '国科', '公司', '特定', '股东', '减持', '计划', '期限', '届满']","[155911, 0, 225, 3850, 9250, 65453, 887, 12294, 109969]"
638,"['实施', '年', '年度', '权益', '分派', '后', '调整', '股份', '回购', '价格', '上限']","[3072, 50, 6892, 6385, 60412, 84, 1754, 11068, 18375, 651, 8141]"
639,"['西藏', '城市', '发展', '投资', '股份', '有限公司', '年', '年度', '权益', '分派', '实施']","[4020, 452, 340, 857, 11068, 11426, 50, 6892, 6385, 60412, 3072]"
640,"['使用', '部分', '闲置', '募集', '资金', '进行', '现金管理', '进展']","[308, 421, 19109, 25802, 1797, 271, 104092, 6738]"
641,"['年', '年度', '权益', '分派', '实施']","[50, 6892, 6385, 60412, 3072]"
642,"['美康', '生物', '全资', '子公司', '完成', '工商', '变更', '登记']","[213317, 1267, 58649, 24811, 678, 21646, 15574, 8633]"
643,"['申万', '宏源证券', '承销', '保荐', '有限责任', '公司', '上海', '金桥', '信息', '股份', '有限公司', '差异化', '分红', '事项', '核查', '意见']","[0, 0, 104523, 148681, 148363, 225, 829, 77440, 590, 11068, 11426, 26027, 16823, 15891, 41698, 2497]"
644,"['美康', '生物', '公司', '取得', '医疗器械', '注册证']","[213317, 1267, 225, 1760, 32427, 182505]"
645,"['铭普光', '磁', '股东', '减持', '计划', '期限', '届满']","[0, 8972, 9250, 65453, 887, 12294, 109969]"
646,"['德豪', '公司', '股票交易', '异常', '波动']","[0, 225, 75275, 3183, 5639]"
647,"['松芝', '股份', '股票交易', '异常', '波动']","[0, 11068, 75275, 3183, 5639]"
648,"['上峰', '水泥', '控股', '股东', '部分', '股份', '解除', '质押', '部分', '股份', '质押']","[74841, 8508, 22043, 9250, 421, 11068, 9418, 42955, 421, 11068, 42955]"
649,"['渤海', '租赁', '参加', '年', '新疆', '辖区', '投资者', '网上', '集体', '接待日', '暨', '上市', '公司业绩', '说明会', '活动']","[31534, 13574, 690, 50, 3192, 22139, 6048, 1019, 2397, 200661, 40297, 4775, 87875, 102965, 780]"
650,"['易明', '医药', '大', '股东', '部分', '股份', '质押', '展期']","[0, 13262, 73, 9250, 421, 11068, 42955, 144869]"
651,"['龙宇', '燃油', '回复', '年', '年度报告', '信息', '披露', '监管', '工作', '函']","[0, 15926, 1446, 50, 105611, 590, 14061, 4408, 166, 28939]"
652,"['大华', '会计师', '事务所', '龙宇', '燃油', '年', '年度报告', '信息', '披露', '监管', '工作', '函', '回复', '意见']","[81955, 24689, 25653, 0, 15926, 50, 105611, 590, 14061, 4408, 166, 28939, 1446, 2497]"
653,"['中信', '建投', '证券', '股份', '有限公司', '常州市', '凯迪', '电器', '股份', '有限公司', '差异化', '分红', '事项', '核查', '意见']","[54001, 0, 9932, 11068, 11426, 0, 82452, 12045, 11068, 11426, 26027, 16823, 15891, 41698, 2497]"
654,"['华友', '钴业', '公司', '实际', '控制', '人', '部分', '股份', '质押']","[0, 0, 225, 1177, 596, 12, 421, 11068, 42955]"
655,"['本川', '智能', '年', '年度', '权益', '分派', '实施']","[0, 3364, 50, 6892, 6385, 60412, 3072]"
656,"['中航', '航空', '高科技', '股份', '有限公司', '年', '年度', '权益', '分派', '实施']","[76539, 3340, 8666, 11068, 11426, 50, 6892, 6385, 60412, 3072]"
657,"['中曼', '石油', '全资', '子公司', '融资', '租赁', '业务', '提供', '担保']","[0, 3690, 58649, 24811, 4899, 13574, 1915, 614, 16235]"
658,"['广州', '鹿山', '新', '材料', '股份', '有限公司', '年', '年度', '权益', '分派', '实施']","[2537, 0, 469, 1900, 11068, 11426, 50, 6892, 6385, 60412, 3072]"
659,"['华翔', '转债', '转股']","[0, 237991, 0]"
660,"['浙江', '荣晟', '环保', '纸业', '股份', '有限公司', '实施', '荣晟', '转债', '赎回', '暨', '摘牌', '第五次', '提示性']","[5549, 0, 4407, 174184, 11068, 11426, 3072, 0, 237991, 27306, 40297, 210068, 0, 186770]"
661,"['华泰', '联合', '证券', '有限责任', '公司', '虹软', '科技股份', '有限公司', '差异化', '分红', '事项', '核查', '意见']","[144682, 2841, 9932, 148363, 225, 0, 176683, 11426, 26027, 16823, 15891, 41698, 2497]"
662,"['年', '年度', '权益', '分派', '实施']","[50, 6892, 6385, 60412, 3072]"
663,"['中信', '建投', '证券', '股份', '有限公司', '虹软', '科技股份', '有限公司', '差异化', '分红', '事项', '核查', '意见']","[54001, 0, 9932, 11068, 11426, 0, 176683, 11426, 26027, 16823, 15891, 41698, 2497]"
664,"['调整', '年度', '利润分配', '预案', '每股', '现金', '分红', '金额']","[1754, 6892, 146586, 25818, 50068, 4591, 16823, 6343]"
665,"['年', '限制性', '股票', '激励', '计划', '第一个', '归属', '期', '归属', '暨', '股份', '上市']","[50, 70711, 2913, 5596, 887, 0, 15351, 1729, 15351, 40297, 11068, 4775]"
666,"['江西', '景旺', '精密', '电路', '有限公司', '年', '第一季度', '财务报表']","[8822, 0, 14587, 13563, 11426, 50, 60207, 40744]"
667,"['景旺', '电子科技', '珠海', '有限公司', '年', '第一季度', '财务报表']","[0, 96979, 23737, 11426, 50, 60207, 40744]"
668,"['景旺', '电子', '公司', '子公司', '对外', '担保', '进展']","[0, 2859, 225, 24811, 3871, 16235, 6738]"
669,"['深圳市', '景旺', '电子', '股份', '有限公司', '母公司', '年', '第一季度', '财务报表']","[34188, 0, 2859, 11068, 11426, 41463, 50, 60207, 40744]"
670,"['珠海', '景旺', '柔性', '电路', '有限公司', '年', '第一季度', '财务报表']","[23737, 0, 55661, 13563, 11426, 50, 60207, 40744]"
671,"['景旺', '电子科技', '龙川', '有限公司', '年', '第一季度', '财务报表']","[0, 96979, 158581, 11426, 50, 60207, 40744]"
672,"['三', '六零', '安全', '科技股份', '有限公司', '签订', '募集', '资金', '专户', '存储', '四方', '监管', '协议']","[105, 104530, 788, 176683, 11426, 7068, 25802, 1797, 187998, 8578, 9543, 4408, 4244]"
673,"['华润', '双鹤年', '第二次', '临时', '股东大会', '会议', '文件']","[43445, 0, 0, 3922, 70603, 3764, 3177]"
674,"['云南', '煤业', '能源', '股份', '有限公司', '关联方', '中标', '公司', '建设', '工程项目', '暨', '关联', '交易']","[4511, 0, 3856, 11068, 11426, 126943, 45991, 225, 1665, 55406, 40297, 6328, 2175]"
675,"['亚士', '创能', '年', '第一次', '临时', '股东大会', '会议', '资料']","[0, 0, 50, 0, 3922, 70603, 3764, 1413]"
676,"['新疆', '天富', '能源', '股份', '有限公司', '控股', '股东', '提供', '担保', '实施']","[3192, 0, 3856, 11068, 11426, 22043, 9250, 614, 16235, 3072]"
677,"['常熟', '银行', '修订']","[57658, 1432, 22681]"
678,"['江苏', '常熟', '农村', '商业银行', '股份', '有限公司', '章程', '年', '修订']","[6053, 57658, 1466, 26170, 11068, 11426, 39252, 50, 22681]"
679,"['农产品', '举办', '年度', '网上', '业绩', '说明会']","[17271, 6763, 6892, 1019, 7182, 102965]"
680,"['华西', '能源', '控股', '股东', '部分', '股份', '司法', '拍卖', '进展']","[47794, 3856, 22043, 9250, 421, 11068, 6195, 18734, 6738]"
681,"['藏格', '矿业', '控股', '股东', '部分', '股份', '解除', '质押']","[0, 46358, 22043, 9250, 421, 11068, 9418, 42955]"
682,"['华天', '科技', '年', '年度', '权益', '分派', '实施']","[143681, 1140, 50, 6892, 6385, 60412, 3072]"
683,"['步森', '收到', '浙江省', '证监局', '监管', '问询', '函']","[0, 1851, 26521, 0, 4408, 47727, 28939]"
684,"['双成', '药业', '海南', '双成', '药业', '股份', '有限公司', '公司', '药品', '生产', '许可证', '变更']","[0, 80551, 8636, 0, 80551, 11068, 11426, 225, 7427, 1215, 23817, 15574]"
685,"['太平洋', '证券', '股份', '有限公司', '简式', '权益', '变动', '报告书', '华创', '证券']","[5850, 9932, 11068, 11426, 187888, 6385, 10548, 80574, 173877, 9932]"
686,"['太平洋', '证券', '股份', '有限公司', '简式', '权益', '变动', '报告书', '嘉裕', '投资']","[5850, 9932, 11068, 11426, 187888, 6385, 10548, 80574, 0, 857]"
687,"['山西', '科新', '发展', '股份', '有限公司', '年', '年度', '股东大会', '资料']","[6440, 0, 340, 11068, 11426, 50, 6892, 70603, 1413]"
688,"['申达', '股份', '疫情', '防控', '期间', '参加', '年', '年度', '股东大会', '相关', '事项', '提示性']","[0, 11068, 27736, 60965, 975, 690, 50, 6892, 70603, 530, 15891, 186770]"
689,"['回复', '上海证券交易所', '公司', '控股', '子公司', '相关', '事项', '监管', '工作', '函']","[1446, 151267, 225, 22043, 24811, 530, 15891, 4408, 166, 28939]"
690,"['中曼', '石油', '天然气', '集团股份', '有限公司', '年', '第二次', '临时', '股东大会', '会议', '资料']","[0, 3690, 11838, 163991, 11426, 50, 0, 3922, 70603, 3764, 1413]"
691,"['回复', '上海证券交易所', '公司', '年', '年度报告', '信息', '披露', '监管', '工作', '函']","[1446, 151267, 225, 50, 105611, 590, 14061, 4408, 166, 28939]"
692,"['江西', '长运', '年', '年度', '权益', '分派', '实施']","[8822, 0, 50, 6892, 6385, 60412, 3072]"
693,"['蓝丰', '生化', '年', '第二次', '临时', '股东大会', '通知']","[0, 18199, 50, 0, 3922, 70603, 3506]"
694,"['华西', '证券', '年度', '第二期', '短期', '融资券', '发行']","[47794, 9932, 6892, 0, 5058, 0, 5698]"
695,"['天首', '退', '股票', '进入', '退市', '整理', '期', '交易', '第五次', '风险', '提示']","[0, 3067, 2913, 505, 69188, 2150, 1729, 2175, 0, 1361, 4504]"
696,"['藏格', '矿业', '参加', '年', '青海', '辖区', '上市公司', '投资者', '集体', '接待日', '暨', '年度', '业绩', '说明会']","[0, 46358, 690, 50, 12523, 22139, 12697, 6048, 2397, 200661, 40297, 6892, 7182, 102965]"
697,"['蓝丰', '生化', '修改']","[0, 18199, 2493]"
698,"['蓝丰', '生化', '公司章程', '年', '月']","[0, 18199, 108228, 50, 161]"
699,"['蓝丰', '生化', '第六届', '监事会', '第十二次', '会议', '决议']","[0, 18199, 0, 122159, 0, 3764, 17912]"
700,"['昱', '科技股份', '有限公司', '召开', '年度', '年', '第一季度', '业绩', '暨', '现金', '分红', '说明会']","[93324, 176683, 11426, 9061, 6892, 50, 60207, 7182, 40297, 4591, 16823, 102965]"
701,"['江阴市', '恒润', '重工', '股份', '有限公司', '股份', '股东', '减持', '股份', '计划']","[0, 0, 28838, 11068, 11426, 11068, 9250, 65453, 11068, 887]"
702,"['海南', '橡胶', '年', '年度', '权益', '分派', '实施']","[8636, 15428, 50, 6892, 6385, 60412, 3072]"
703,"['公开', '发行', '转换', '公司债券', '年', '跟踪', '评级', '报告']","[2314, 5698, 5583, 221683, 50, 8915, 23999, 1950]"
704,"['广州', '粤泰', '集团股份', '有限公司', '公司', '逾期', '担保', '解除']","[2537, 0, 163991, 11426, 225, 28087, 16235, 9418]"
705,"['转换', '公司债券', '年', '跟踪', '评级']","[5583, 221683, 50, 8915, 23999]"
706,"['杭州', '士兰', '微电子', '股份', '有限公司', '年', '第二次', '临时', '股东大会', '会议', '资料']","[2684, 0, 53874, 11068, 11426, 50, 0, 3922, 70603, 3764, 1413]"
707,"['金沃', '股份', '首次', '公开', '发行', '前', '已', '发行', '股份', '上市', '流通', '提示性']","[0, 11068, 4864, 2314, 5698, 204, 440, 5698, 11068, 4775, 9558, 186770]"
708,"['北京理工', '导航', '控制', '科技股份', '有限公司', '年', '年度', '股东大会', '会议', '资料']","[176126, 8071, 596, 176683, 11426, 50, 6892, 70603, 3764, 1413]"
709,"['金沃', '股份', '华泰', '联合', '证券', '有限责任', '公司', '浙江', '金沃', '精工', '股份', '有限公司', '限售', '股份', '上市', '流通', '事项', '核查', '意见']","[0, 11068, 144682, 2841, 9932, 148363, 225, 5549, 0, 84181, 11068, 11426, 0, 11068, 4775, 9558, 15891, 41698, 2497]"
710,"['瑞银', '证券', '有限责任', '公司', '申能', '股份', '有限公司', '非', '公开', '发行', '限售', '股份', '上市', '流通', '核查', '意见']","[126871, 9932, 148363, 225, 0, 11068, 11426, 714, 2314, 5698, 0, 11068, 4775, 9558, 41698, 2497]"
711,"['申能', '股份', '有限公司', '非', '公开', '发行', '限售', '股', '上市', '流通']","[0, 11068, 11426, 714, 2314, 5698, 0, 1701, 4775, 9558]"
712,"['峨眉山', '年度', '权益', '分派', '实施']","[72424, 6892, 6385, 60412, 3072]"
713,"['中通', '国脉', '通信', '股份', '有限公司', '收到', '上海证券交易所', '年', '年度报告', '信息', '披露', '监管', '工作', '函']","[0, 181605, 5829, 11068, 11426, 1851, 151267, 50, 105611, 590, 14061, 4408, 166, 28939]"
714,"['桂发祥', '回购', '股份', '注销', '完成', '暨', '股份', '变动']","[0, 18375, 11068, 31511, 678, 40297, 11068, 10548]"
715,"['深圳', '能源', '深圳', '能源', '集团股份', '有限公司', '年', '第二期', '深圳', '能源', '集团股份', '有限公司', '绿色', '债券', '年', '付息']","[2723, 3856, 2723, 3856, 163991, 11426, 50, 0, 2723, 3856, 163991, 11426, 3840, 14020, 50, 124318]"
716,"['捷荣', '技术', '召开', '年度', '股东大会', '提示性']","[0, 339, 9061, 6892, 70603, 186770]"
717,"['洪汇', '新材', '部分', '监事', '高级', '管理人员', '股份', '减持', '时间', '过半', '进展']","[0, 0, 421, 130966, 1977, 17669, 11068, 65453, 139, 46633, 6738]"
718,"['元成', '环境', '股份', '有限公司', '持股']","[0, 578, 11068, 11426, 31043]"
719,"['浙江', '菲达', '环保', '科技股份', '有限公司', '独立', '董事', '制度', '年', '月']","[5549, 0, 4407, 176683, 11426, 988, 25899, 1414, 50, 161]"
720,"['浙江', '菲达', '环保', '科技股份', '有限公司', '独立', '董事', '董事会', '相关', '事项', '事前', '认可', '独立', '意见']","[5549, 0, 4407, 176683, 11426, 988, 25899, 22872, 530, 15891, 17110, 2895, 988, 2497]"
721,"['浙江', '菲达', '环保', '科技股份', '有限公司', '修订']","[5549, 0, 4407, 176683, 11426, 22681]"
722,"['浙江', '菲达', '环保', '科技股份', '有限公司', '章程', '年', '月']","[5549, 0, 4407, 176683, 11426, 39252, 50, 161]"
723,"['浙江', '菲达', '环保', '科技股份', '有限公司', '召开', '年', '第五次', '临时', '股东大会', '通知']","[5549, 0, 4407, 176683, 11426, 9061, 50, 0, 3922, 70603, 3506]"
724,"['浙江', '菲达', '环保', '科技股份', '有限公司', '董事会', '审计', '委员会', '重大', '关联', '交易', '审核', '意见']","[5549, 0, 4407, 176683, 11426, 22872, 17809, 5793, 3163, 6328, 2175, 7913, 2497]"
725,"['浙江', '菲达', '环保', '科技股份', '有限公司', '董事', '议事规则', '年', '月']","[5549, 0, 4407, 176683, 11426, 25899, 173560, 50, 161]"
726,"['浙江', '菲达', '环保', '科技股份', '有限公司', '第八届', '监事会', '第九次', '会议', '决议']","[5549, 0, 4407, 176683, 11426, 0, 122159, 0, 3764, 17912]"
727,"['浙江', '菲达', '环保', '科技股份', '有限公司', '拟', '控股', '股东', '签订']","[5549, 0, 4407, 176683, 11426, 14685, 22043, 9250, 7068]"
728,"['浙江', '菲达', '环保', '科技股份', '有限公司', '控股', '子公司', '提供', '财务', '资助']","[5549, 0, 4407, 176683, 11426, 22043, 24811, 614, 4233, 9120]"
729,"['浙江', '菲达', '环保', '科技股份', '有限公司', '第八届', '董事会', '第十一次', '会议', '决议']","[5549, 0, 4407, 176683, 11426, 0, 22872, 0, 3764, 17912]"
730,"['浙江', '菲达', '环保', '科技股份', '有限公司', '股东大会', '议事规则', '年', '月']","[5549, 0, 4407, 176683, 11426, 70603, 173560, 50, 161]"
731,"['浙江', '菲达', '环保', '科技股份', '有限公司', '修订']","[5549, 0, 4407, 176683, 11426, 22681]"
732,"['新奥', '股份', '年', '年度', '股东大会', '会议', '资料']","[167232, 11068, 50, 6892, 70603, 3764, 1413]"
733,"['年', '年度', '股东大会', '会议', '资料']","[50, 6892, 70603, 3764, 1413]"
734,"['年', '年度', '股东大会', '会议', '资料']","[50, 6892, 70603, 3764, 1413]"
735,"['爱康', '科技', '对外', '提供', '反担保', '进展']","[243912, 1140, 3871, 614, 0, 6738]"
736,"['绿景退', '公司股票', '进入', '退市', '整理', '期', '交易', '第六次', '风险', '提示']","[0, 72744, 505, 69188, 2150, 1729, 2175, 0, 1361, 4504]"
737,"['联科', '科技', '中', '泰', '证券', '股份', '有限公司', '山东', '联科', '科技股份', '有限公司', '首次', '公开', '发行', '前', '已', '发行', '股份', '部分', '解除', '限售', '上市', '流通', '核查', '意见']","[245261, 1140, 60, 11412, 9932, 11068, 11426, 2797, 245261, 176683, 11426, 4864, 2314, 5698, 204, 440, 5698, 11068, 421, 9418, 0, 4775, 9558, 41698, 2497]"
738,"['浙江', '绍兴', '瑞丰', '农村', '商业银行', '股份', '有限公司', '聘任', '行长']","[5549, 24710, 0, 1466, 26170, 11068, 11426, 91215, 16752]"
739,"['年', '年度', '股东大会', '会议', '资料']","[50, 6892, 70603, 3764, 1413]"
740,"['东华', '科技', '东华', '科技', '控股', '子公司', '东华', '天业', '项目', '一期', '一次性', '开车', '成功']","[61138, 1140, 61138, 1140, 22043, 24811, 61138, 0, 749, 6298, 5390, 1696, 490]"
741,"['联科', '科技', '首次', '公开', '发行', '前', '已', '发行', '股份', '部分', '解除', '限售', '上市', '流通', '提示性']","[245261, 1140, 4864, 2314, 5698, 204, 440, 5698, 11068, 421, 9418, 0, 4775, 9558, 186770]"
742,"['宁波', '世茂', '能源', '股份', '有限公司', '部分', '闲置', '募集', '资金', '现金管理', '到期', '赎回', '继续', '进行', '现金管理']","[15875, 165310, 3856, 11068, 11426, 421, 19109, 25802, 1797, 104092, 14197, 27306, 405, 271, 104092]"
743,"['中', '远海', '发', '全资', '子公司', '担保']","[60, 71646, 387, 58649, 24811, 16235]"
744,"['新城', '控股', '公司', '部分', '董事', '高级', '管理人员', '二级', '市场', '购买', '公司债券']","[30758, 22043, 225, 421, 25899, 1977, 17669, 7999, 544, 1663, 221683]"
745,"['中', '远海', '发', '被担保人', '基本', '情况', '最近', '一期', '财务报表']","[60, 71646, 387, 0, 275, 394, 834, 6298, 40744]"
746,"['新光', '退', '公司股票', '进入', '退市', '整理', '期', '交易', '第八次', '风险', '提示']","[103671, 3067, 72744, 505, 69188, 2150, 1729, 2175, 0, 1361, 4504]"
747,"['中铁', '特货', '中铁', '特', '货物', '流', '股份', '有限公司', '年', '年度', '权益', '分派', '实施']","[46942, 0, 46942, 1160, 9959, 2531, 11068, 11426, 50, 6892, 6385, 60412, 3072]"
748,"['景津', '装备', '股份', '有限公司', '年', '第二次', '临时', '股东大会', '会议', '资料']","[0, 1847, 11068, 11426, 50, 0, 3922, 70603, 3764, 1413]"
749,"['年', '年度', '股东大会', '会议', '资料']","[50, 6892, 70603, 3764, 1413]"
750,"['全新', '诉讼', '案件', '进展']","[6278, 12268, 3664, 6738]"
751,"['百润', '股份', '上海', '百润', '投资', '控股集团', '股份', '有限公司', '公开', '发行', '转换', '公司债券', '年', '跟踪', '评级', '报告']","[0, 11068, 829, 0, 857, 132609, 11068, 11426, 2314, 5698, 5583, 221683, 50, 8915, 23999, 1950]"
752,"['梦天', '家居', '部分', '股东', '延长', '股份', '锁定', '期']","[0, 12941, 421, 9250, 7858, 11068, 10150, 1729]"
753,"['银河', '电子', '累积', '投票制', '实施细则', '年', '月']","[4871, 2859, 9258, 177363, 101256, 50, 161]"
754,"['银河', '电子', '修订']","[4871, 2859, 22681]"
755,"['银河', '电子', '股东大会', '议事规则', '年', '月']","[4871, 2859, 70603, 173560, 50, 161]"
756,"['银河', '电子', '第八届', '董事会', '第二次', '会议', '决议']","[4871, 2859, 0, 22872, 0, 3764, 17912]"
757,"['银河', '电子', '监事会', '议事规则', '年', '月']","[4871, 2859, 122159, 173560, 50, 161]"
758,"['银河', '电子', '委托', '理财', '管理制度', '年', '月']","[4871, 2859, 12597, 3283, 41087, 50, 161]"
759,"['银河', '电子', '独立', '董事', '年度报告', '工作', '制度', '年', '月']","[4871, 2859, 988, 25899, 105611, 166, 1414, 50, 161]"
760,"['银河', '电子', '增加', '年度', '日常', '关联', '交易', '预计', '额度']","[4871, 2859, 833, 6892, 2079, 6328, 2175, 7148, 10466]"
761,"['银河', '电子', '第八届', '监事会', '第二次', '会议', '决议']","[4871, 2859, 0, 122159, 0, 3764, 17912]"
762,"['银河', '电子', '董事会', '战略决策', '委员会', '工作细则', '年', '月']","[4871, 2859, 22872, 78157, 5793, 0, 50, 161]"
763,"['银河', '电子', '关联', '交易', '管理制度', '年', '月']","[4871, 2859, 6328, 2175, 41087, 50, 161]"
764,"['银河', '电子', '设立', '投资', '公司']","[4871, 2859, 6612, 857, 225]"
765,"['银河', '电子', '董事会', '审计', '委员会', '工作细则', '年', '月']","[4871, 2859, 22872, 17809, 5793, 0, 50, 161]"
766,"['银河', '电子', '董事会', '议事规则', '年', '月']","[4871, 2859, 22872, 173560, 50, 161]"
767,"['银河', '电子', '独立', '董事', '公司', '相关', '事项', '事前', '认可', '意见']","[4871, 2859, 988, 25899, 225, 530, 15891, 17110, 2895, 2497]"
768,"['银河', '电子', '独立', '董事', '制度', '年', '月']","[4871, 2859, 988, 25899, 1414, 50, 161]"
769,"['银河', '电子', '董事会', '提名', '委员会', '工作细则', '年', '月']","[4871, 2859, 22872, 8941, 5793, 0, 50, 161]"
770,"['银河', '电子', '对外', '担保', '管理制度', '年', '月']","[4871, 2859, 3871, 16235, 41087, 50, 161]"
771,"['银河', '电子', '内部', '审计', '制度', '年', '月']","[4871, 2859, 1608, 17809, 1414, 50, 161]"
772,"['银河', '电子', '总经理', '工作细则', '年', '月']","[4871, 2859, 13675, 0, 50, 161]"
773,"['银河', '电子信息', '披露', '管理制度', '年', '月']","[4871, 61267, 14061, 41087, 50, 161]"
774,"['银河', '电子', '重大', '信息', '内部', '报告', '制度', '年', '月']","[4871, 2859, 3163, 590, 1608, 1950, 1414, 50, 161]"
775,"['银河', '电子', '风险投资', '管理制度', '年', '月']","[4871, 2859, 31241, 41087, 50, 161]"
776,"['银河', '电子', '对外', '投资', '管理制度', '年', '月']","[4871, 2859, 3871, 857, 41087, 50, 161]"
777,"['银河', '电子', '公司章程', '年', '月']","[4871, 2859, 108228, 50, 161]"
778,"['银河', '电子', '募集', '资金', '管理制度', '年', '月']","[4871, 2859, 25802, 1797, 41087, 50, 161]"
